tranche_date,security,program,shares,usd_net_m,note
2025-11-10,STRD,ATM,12800,1.0,"8-K ATM Program Summary: 12,800 STRD @ $1.0M net"

# ── 2025-12-08: Mixed-AtmCommon+AtmStrd ───────────────────────────
2025-12-08,STRD,ATM,442536,34.9,"8-K ATM Program Summary: 442,536 STRD @ $34.9M net"
2025-12-08,MSTR,ATM,5127684,928.1,"8-K ATM Program Summary: 5,127,684 MSTR @ $928.1M net"

# ── 2025-12-15: 8-K shows STRF+STRK+STRD+MSTR (footnote citations) ─
# tranches.csv funding_source label may differ; legs reflect actual table.
2025-12-15,STRF,ATM,163306,18.0,"8-K ATM Program Summary: 163,306 STRF @ $18.0M net"
2025-12-15,STRK,ATM,7036,0.6,"8-K ATM Program Summary: 7,036 STRK @ $0.6M net"
2025-12-15,STRD,ATM,1029202,82.2,"8-K ATM Program Summary: 1,029,202 STRD @ $82.2M net"
2025-12-15,MSTR,ATM,4789664,888.2,"8-K ATM Program Summary: 4,789,664 MSTR @ $888.2M net"

# ── 2026-01-12: Mixed-AtmCommon+AtmStrc ───────────────────────────
2026-01-12,STRC,ATM,1192262,119.1,"8-K ATM Program Summary: 1,192,262 STRC @ $119.1M net"
2026-01-12,MSTR,ATM,6827695,1128.5,"8-K ATM Program Summary: 6,827,695 MSTR @ $1,128.5M net"
